aX,aY,aZ,gX,gY,gZ
-0.399,0.863,0.386,-1.892,-0.183,6.348
-0.410,0.851,0.353,-3.235,4.211,4.578
-0.404,0.829,0.336,-4.150,6.592,2.991
-0.395,0.822,0.330,-4.700,7.690,1.709
-0.385,0.821,0.325,-5.188,10.071,0.305
-0.373,0.813,0.317,-5.066,13.977,-1.892
-0.362,0.802,0.302,-4.822,18.860,-4.333
-0.346,0.792,0.283,-3.906,23.254,-6.836
-0.323,0.784,0.268,-2.319,25.208,-8.118
-0.297,0.791,0.272,-0.610,24.597,-7.507
-0.281,0.801,0.287,0.977,23.437,-5.676
-1.208,-0.444,1.390,95.947,88.318,282.410
-1.409,-0.423,1.451,93.140,75.500,273.437
-1.568,-0.405,1.459,90.149,66.223,257.812
-1.669,-0.390,1.473,87.036,59.753,237.976
-1.719,-0.394,1.493,84.656,55.725,217.957
-1.668,-0.384,1.498,81.177,56.580,202.209
-1.707,-0.431,1.562,79.468,47.485,189.636
-1.761,-0.396,1.569,70.251,40.161,190.125
-1.766,-0.428,1.555,59.998,47.607,182.129
-1.854,-0.455,1.492,53.589,55.237,172.119
-2.067,-0.579,1.354,48.279,60.974,160.522
-2.169,-0.550,1.247,50.415,57.556,140.747
-2.289,-0.572,1.217,58.655,40.771,120.056
-2.399,-0.531,1.213,60.913,16.479,98.755
-2.553,-0.522,1.156,58.289,-7.690,73.547
-2.603,-0.482,1.141,57.800,-28.503,39.124
-2.551,-0.400,1.174,59.021,-44.067,-2.502
-2.424,-0.370,1.197,57.251,-51.941,-45.654
-2.293,-0.385,1.173,50.537,-55.054,-85.022
-2.154,-0.418,1.112,44.495,-57.800,-117.981
-2.040,-0.421,1.057,42.908,-62.439,-143.738
-1.954,-0.374,1.021,43.396,-67.322,-164.734
-1.857,-0.308,1.000,42.786,-71.289,-183.350
-1.744,-0.249,0.999,42.053,-77.759,-198.853
-1.616,-0.162,0.991,40.161,-86.914,-212.341
-1.484,-0.082,1.014,36.865,-96.130,-225.525
-1.397,0.010,1.057,31.982,-102.417,-240.784
-1.357,0.114,1.063,25.879,-105.957,-258.423
-1.289,0.183,1.102,17.334,-110.657,-277.405
-1.216,0.214,1.064,2.991,-110.718,-298.218
-1.002,0.228,1.054,-5.859,-105.835,-328.369
-0.762,0.244,1.002,-16.296,-105.408,-353.149
-0.499,0.217,0.904,-27.588,-104.858,-367.432
-0.234,0.178,0.807,-33.569,-109.680,-371.582
0.003,0.157,0.704,-34.790,-120.178,-363.037
0.236,0.192,0.602,-31.982,-132.812,-342.407
0.454,0.286,0.520,-27.588,-146.729,-311.523
0.623,0.401,0.463,-25.269,-161.011,-275.818
0.762,0.494,0.443,-23.254,-171.509,-242.859
0.856,0.562,0.478,-19.287,-176.575,-215.515
0.846,0.637,0.509,-15.381,-172.058,-192.078
0.793,0.702,0.519,-13.367,-156.250,-176.514
0.748,0.724,0.499,-11.597,-132.446,-171.936
0.741,0.738,0.488,-9.460,-104.797,-175.537
0.808,0.740,0.453,-8.606,-77.209,-177.612
