aX,aY,aZ,gX,gY,gZ
-0.420,0.501,0.270,81.787,-120.239,-100.037
-0.320,0.522,0.279,79.590,-118.103,-102.600
-0.207,0.563,0.303,79.346,-114.014,-106.995
-0.078,0.581,0.337,80.872,-106.506,-112.427
0.078,0.582,0.389,83.252,-96.130,-116.333
0.226,0.613,0.431,82.458,-86.060,-114.929
0.348,0.639,0.450,78.369,-77.820,-108.887
0.440,0.647,0.441,72.815,-72.693,-99.487
0.477,0.675,0.410,67.688,-71.594,-87.769
0.465,0.715,0.385,63.599,-73.669,-75.745
0.443,0.752,0.373,59.509,-74.341,-65.247
0.409,0.791,0.368,54.871,-69.763,-58.472
0.389,0.810,0.347,51.758,-59.753,-56.335
0.400,0.808,0.316,49.194,-47.913,-57.495
0.411,0.808,0.283,46.143,-37.903,-58.228
0.409,0.801,0.228,42.480,-28.564,-57.007
0.394,0.781,0.161,39.917,-20.203,-54.016
0.357,0.753,0.094,38.025,-14.526,-48.889
0.316,0.755,0.050,36.682,-12.939,-40.955
0.282,0.768,0.052,35.828,-14.771,-30.884
0.231,0.799,0.068,32.959,-17.517,-19.958
0.195,0.817,0.084,29.114,-18.311,-10.986
0.169,0.831,0.111,25.269,-18.250,-5.005
0.131,0.839,0.104,20.081,-17.517,-0.732
0.073,0.838,0.080,15.137,-15.991,2.747
-0.004,0.868,0.060,9.338,-10.681,4.089
-0.015,0.858,0.007,4.211,0.488,1.709
-0.051,0.835,-0.058,2.380,10.986,-0.549
-0.066,0.832,-0.113,1.709,17.883,-1.953
-0.087,0.818,-0.142,3.113,20.142,-2.502
-0.110,0.809,-0.171,3.540,19.348,0.671
-0.153,0.807,-0.184,2.075,14.893,7.019
-0.216,0.823,-0.197,0.854,9.277,13.733
-0.299,0.844,-0.210,-0.061,3.662,18.921
-0.365,0.856,-0.221,-1.160,-0.427,21.851
-0.406,0.861,-0.221,-2.563,-1.526,22.400
-0.447,0.887,-0.214,-3.845,0.183,20.691
-0.492,0.903,-0.217,-4.272,3.845,16.724
-0.501,0.887,-0.227,-4.211,9.766,10.132
-0.466,0.879,-0.247,-3.906,16.663,3.296
-0.455,0.874,-0.251,-2.014,22.339,-1.404
-0.462,0.870,-0.259,0.732,26.123,-4.578
